799.70,29786959
800.20,29807466
800.36,29840230
801.00,29863042
801.07,29908899
800.97,29936002
801.27,29957808
800.85,29978439
801.00,30010869
801.30,30040937
800.91,30062864
800.26,30101318
800.19,30133528
799.94,30171431
800.02,30181632
799.41,30208301
800.30,30249725
800.32,30272124
799.88,30289663
799.55,30314055
800.27,30345708
800.14,30365064
799.91,30384702
800.00,30402457
800.58,30435901
800.85,30453511
800.48,30472148
800.56,30488599
801.45,30538139
800.51,30576804
800.00,30627834
799.39,30683137
799.64,30721127
799.97,30743780
799.58,30784336
799.20,30809331
799.99,30846089
799.92,30865118
799.55,30885772
799.34,30917485
799.67,30935946
800.00,30968105
800.02,31067505
799.97,31115493
799.80,31146254
799.80,31171198
799.00,31219954
798.77,31293506
799.32,31319247
799.15,31350153
799.49,31374981
799.71,31392809
799.40,31423861
799.42,31441746
799.80,31461102
799.32,31545793
799.42,31565838
799.46,31579949
799.09,31605700
799.76,31629631
800.00,31675565
799.60,31703462
799.25,31732228
799.05,31783241
799.35,31803397
799.77,31830239
799.55,31840952
799.67,31857465
799.82,31871497
799.68,31889010
799.66,31901376
799.47,31916852
799.37,31935675
799.40,31952445
799.62,31964909
799.29,31980914
798.95,32008567
799.00,32032023
799.25,32046398
799.59,32066950
799.44,32077977
799.49,32089863
799.62,32107862
799.70,32126964
799.89,32163689
799.79,32180081
799.47,32300375
796.28,32451988
797.33,32495596
797.98,32532765
797.06,32568101
797.31,32603316
796.82,32641045
796.41,32674525
796.12,32708029
795.64,32803415
795.99,32857801
796.57,32911946
797.29,32964785
797.25,32993679
797.02,33023756
797.15,33041933
796.76,33070769
797.30,33102050
797.47,33119705
798.00,33167462
798.60,33196897
798.55,33230447
798.74,33259132
799.11,33301801
799.17,33346411
799.36,33411036
799.83,33435379
799.99,33471217
799.72,33619691
799.52,33647734
799.43,33673074
799.51,33689420
799.81,33709281
799.73,33722344
798.90,33747249
799.16,33766616
799.79,33791675
799.25,33801861
799.75,33816420
799.81,33826950
799.75,33838548
799.72,33881117
799.88,33901189
799.73,33938994
799.30,33961842
799.10,33977262
799.73,33998144
799.80,34011001
799.71,34027709
799.64,34037908
799.61,34107424
802.00,34225440
803.62,34365391
803.68,34424528
803.72,34483579
803.61,34519666
803.66,34554261
803.27,34577760
804.62,34656226
805.34,34798055
804.71,34850502
804.48,34907072
803.03,34953026
804.18,35009961
804.40,35038571
804.39,35074671
803.49,35099302
803.58,35130396
803.62,35148956
804.25,35194547
804.17,35227307
804.26,35249853
804.54,35271151
804.28,35289089
804.00,35299550
803.96,35314873
804.02,35335513
803.87,35348936
803.75,35372613
803.74,35390482
803.61,35406585
803.11,35433677
803.37,35449781
803.85,35468604
803.95,35496779
803.39,35518227
803.41,35539278
801.38,35617669
801.95,35665283
802.51,35688802
802.24,35719862
803.38,35750880
803.42,35775540
803.48,35796287
803.30,35815154
803.41,35848754
803.15,35867732
803.61,35906054
803.74,35933035
803.66,35985692
804.46,36026566
804.52,36054250
804.60,36102678
804.77,36139632
804.53,36171632
804.81,36202654
805.47,36359555
805.17,36399487
805.02,36443957
805.37,36472331
805.43,36526728
805.67,36567603
805.11,36603573
805.19,36627358
804.46,36664623
804.59,36681338
805.88,36718594
806.92,36802174
806.85,36882043
806.90,36933708
807.74,37002204
807.95,37052069
807.97,37099327
807.32,37183454
807.64,37216692
807.29,37241567
805.40,37332514
805.82,37386330
806.52,37423503
806.16,37457729
805.40,37505479
805.21,37536380
805.38,37576433
805.61,37602969
806.40,37632763
806.29,37658511
806.49,37685769
806.43,37709483
806.42,37730694
806.79,37759353
807.09,37817845
807.41,37877653
806.99,37907296
806.78,37935479
806.17,37968368
807.05,38011793
806.87,38043702
807.40,38067811
807.68,38109288
807.67,38142574
807.85,38201953
807.92,38238559
808.80,38330827
809.48,38434327
809.47,38602017
808.90,38668034
