4,3,75
4,2,89
4,4,23
3,2,91
3,3,27
40,12,6
40,23,1
40,16,3
40,11,3
40,18,2
40,10,1
40,17,2
40,15,1
40,20,2
40,9,2
40,8,1
40,14,1
40,19,1
15,4,15
15,7,23
15,3,11
15,6,19
15,8,16
15,9,9
15,5,19
15,10,3
15,2,1
15,11,3
14,5,25
14,8,16
14,7,28
14,4,24
14,9,4
14,6,28
14,13,1
14,3,16
14,10,5
14,2,5
8,3,122
8,4,160
8,5,128
8,2,52
8,7,4
8,6,36
32,9,3
32,18,3
32,15,8
32,10,5
32,12,5
32,17,6
32,14,7
32,13,6
32,8,2
32,11,7
32,16,7
32,22,1
32,7,1
16,7,15
16,4,14
16,8,15
16,5,17
16,6,21
16,10,6
16,11,6
16,3,4
16,9,6
7,2,76
7,3,153
7,5,83
7,4,160
7,6,30
7,7,1
39,8,3
39,9,1
39,12,2
39,10,2
39,17,2
39,19,2
39,13,4
39,15,4
39,16,7
39,18,5
39,11,1
20,4,1
20,6,4
20,13,1
20,7,14
20,10,10
20,8,8
20,9,7
20,11,8
20,14,2
20,5,2
35,20,4
35,12,5
35,16,9
35,15,7
35,14,10
35,13,3
35,9,2
35,17,10
35,10,2
35,18,3
35,11,3
35,22,1
35,19,4
35,21,1
6,5,61
6,2,94
6,3,141
6,4,143
6,6,7
24,10,6
24,11,8
24,4,3
24,7,4
24,8,4
24,13,2
24,14,4
24,9,7
24,15,1
24,12,2
24,6,1
11,5,58
11,6,68
11,4,85
11,3,54
11,8,11
11,2,29
11,7,26
11,9,4
37,18,7
37,17,6
37,13,3
37,20,5
37,19,4
37,8,1
37,15,10
37,16,4
37,12,5
37,11,4
37,6,3
37,14,4
37,22,1
37,24,1
9,5,94
9,2,43
9,4,117
9,3,99
9,6,42
9,7,13
9,8,1
36,14,6
36,13,5
36,16,5
36,15,13
36,12,6
36,10,1
36,18,8
36,11,1
36,19,3
36,17,5
36,22,2
36,8,1
36,9,1
36,7,1
12,8,21
12,2,16
12,5,69
12,7,31
12,6,45
12,9,5
12,4,53
12,3,31
33,16,9
33,10,4
33,14,6
33,21,1
33,17,6
33,15,15
33,11,8
33,19,3
33,12,9
33,6,1
33,7,2
33,13,8
33,9,1
33,8,1
33,23,1
33,18,1
41,15,3
41,24,1
41,18,4
41,12,2
41,17,3
41,13,3
41,22,2
41,10,3
41,14,1
41,20,1
34,7,1
34,12,10
34,10,6
34,29,1
34,16,6
34,14,8
34,6,1
34,15,3
34,13,9
34,18,4
34,9,1
34,19,3
34,8,2
34,17,3
34,11,3
34,21,1
13,5,44
13,4,32
13,8,19
13,3,15
13,6,38
13,2,6
13,7,31
13,11,1
13,9,6
31,16,5
31,12,11
31,11,4
31,8,5
31,17,8
31,10,4
31,4,1
31,13,5
31,9,5
31,15,5
31,18,2
31,20,2
31,7,1
31,14,1
31,19,1
27,8,3
27,17,3
27,11,6
27,10,5
27,15,5
27,12,7
27,16,1
27,9,5
27,13,10
27,14,4
27,5,1
18,4,7
18,10,6
18,5,10
18,9,15
18,6,13
18,8,20
18,7,15
18,3,2
18,11,5
26,11,3
26,8,3
26,16,3
26,9,3
26,6,1
26,13,3
26,15,1
26,5,2
26,14,6
26,10,3
26,12,5
10,3,71
10,4,129
10,6,75
10,5,84
10,2,36
10,7,28
10,8,3
10,9,2
17,8,11
17,6,22
17,11,1
17,9,10
17,7,18
17,4,6
17,5,8
17,10,4
17,3,2
23,13,4
23,14,2
23,9,11
23,6,3
23,11,9
23,10,8
23,7,1
23,12,4
23,3,1
23,8,2
5,2,76
5,3,116
5,5,13
5,4,78
29,12,10
29,5,1
29,9,4
29,11,10
29,17,3
29,14,7
29,8,2
29,15,5
29,19,2
29,16,3
29,10,4
29,13,1
38,13,9
38,14,6
38,18,6
38,15,5
38,9,1
38,19,6
38,11,2
38,10,1
38,8,1
38,16,8
38,12,2
38,7,1
38,17,1
28,9,4
28,10,7
28,14,4
28,13,8
28,8,3
28,11,7
28,12,7
28,19,1
28,17,1
28,15,5
28,6,1
28,7,2
25,10,5
25,11,5
25,8,4
25,4,1
25,13,5
25,12,3
25,2,1
25,5,1
25,14,1
19,9,17
19,10,10
19,7,7
19,8,11
19,6,7
19,3,1
19,4,1
19,11,4
19,5,3
19,12,1
47,27,1
21,13,3
21,6,4
21,11,3
21,8,4
21,7,4
21,10,8
21,4,2
21,9,2
21,14,2
21,5,1
21,12,1
49,28,1
49,15,5
49,18,1
49,17,1
30,14,5
30,11,13
30,16,5
30,13,8
30,17,1
30,12,7
30,15,8
30,10,6
30,8,3
30,5,3
30,18,2
30,9,4
30,7,2
22,12,7
22,9,7
22,10,7
22,6,3
22,8,8
22,7,5
22,11,4
22,15,1
22,13,1
22,5,1
22,4,2
42,16,3
42,15,2
42,20,1
42,12,1
42,13,1
42,14,1
42,9,1
42,21,1
43,26,1
43,23,1
43,19,1
43,15,2
43,14,2
43,18,2
43,16,2
43,17,1
57,27,1
45,17,2
45,16,2
45,10,1
45,19,1
50,20,1
48,18,1
44,21,2
44,16,1
44,14,1
52,23,1
