Wurzel,33
gelegt,73
Darum,594
Baum,69
gute,79
bringt,98
abgehauen,20
ins,387
Feuer,413
geworfen,61
taufe,4
Wasser,549
kommt,520
stärker,16
genugsam,3
bin,788
Schuhe,24
tragen,136
Heiligen,169
Wurfschaufel,4
Hand,1045
Tenne,30
fegen,4
Weizen,36
Scheune,6
sammeln,70
Spreu,12
verbrennen,53
ewigem,4
Galiläa,59
ließe,23
Aber,1109
wehrte,8
bedarf,15
wohl,465
getauft,30
werde,541
kommst,40
antwortete,367
Laß,188
jetzt,133
gebührt,25
Gerechtigkeit,294
erfüllen,10
er's,132
stieg,31
alsbald,78
herauf,109
Himmel,587
Über,36
Gottes,1121
gleich,253
als,586
Taube,18
herabfahren,7
herab,64
lieber,53
welchem,114
Wohlgefallen,31
geführt,110
Teufel,86
versucht,33
vierzig,92
Tage,667
Nächte,15
gefastet,3
hungerte,9
Versucher,2
trat,143
Bist,54
sprich,157
diese,519
Steine,88
Brot,277
führte,172
Heilige,40
stellte,49
Zinne,2
Tempels,30
laß,240
hinab,117
Engeln,26
tun,829
Händen,115
deinen,728
Fuß,72
Stein,102
stoßest,2
Wiederum,4
Du,728
versuchen,14
hohen,60
Berg,133
zeigte,35
Reiche,21
Welt,308
Herrlichkeit,187
Das,785
alles,1044
will,2318
geben,587
niederfällst,1
mich,1955
anbetest,3
Hebe,50
weg,127
Satan,38
anbeten,51
allein,239
dienen,182
verließ,17
traten,92
dienten,42
überantwortet,26
galiläische,2
Kapernaum,16
liegt,171
am,1019
Meer,333
Sebulon,42
Naphthali,46
Wege,250
Meeres,31
jenseit,64
Jordans,64
heidnische,1
Finsternis,119
saß,76
großes,104
Licht,166
saßen,42
Ort,269
Schatten,58
Todes,112
denen,380
aufgegangen,10
fing,60
predigen,68
Galiläischen,2
zwei,529
Simon,61
Petrus,154
Andreas,12
Bruder,312
warfen,38
Netze,15
Fischer,6
Folget,6
Menschenfischern,2
Alsbald,3
verließen,24
folgten,30
weiterging,3
andere,316
Jakobus,40
Zebedäus,12
Schiff,63
ihrem,448
flickten,2
rief,185
umher,129
lehrte,39
Schulen,23
Evangelium,87
Reich,152
heilte,17
allerlei,209
Seuche,8
Krankheit,36
Gerücht,31
erscholl,11
Syrienland,1
brachten,137
Kranke,7
mancherlei,26
Seuchen,10
Qual,11
behaftet,3
Besessenen,5
Mondsüchtigen,1
Gichtbrüchigen,9
machte,450
gesund,77
folgte,38
Volks,152
Zehn-Städten,1
jenseits,14
setzte,156
Jünger,188
Selig,34
geistlich,11
arm,25
Leid,73
sollen,943
getröstet,21
Sanftmütigen,1
Erdreich,17
besitzen,50
hungert,5
dürstet,11
satt,65
Barmherzigen,2
Barmherzigkeit,149
erlangen,8
reines,9
Herzens,82
schauen,35
Friedfertigen,1
willen,417
verfolgt,18
seid,414
Menschen,594
meinetwillen,18
schmähen,11
verfolgen,23
reden,278
Übles,18
gegen,597
daran,127
lügen,6
Seid,58
fröhlich,138
getrost,63
belohnt,3
Denn,1833
gewesen,304
Salz,19
Erde,526
dumm,3
womit,49
man's,42
salzen,2
hinfort,59
nichts,506
nütze,24
hinausschütte,1
lasse,96
Leute,250
zertreten,27
kann,319
einem,691
Berge,252
verborgen,75
Man,104
zündet,5
setzt,31
Scheffel,18
sondern,985
Leuchter,41
leuchtet,6
allen,806
Hause,803
Also,506
laßt,129
euer,372
leuchten,20
Leuten,86
eure,485
guten,95
Werke,154
sehen,399
euren,305
preisen,31
sollt,565
wähnen,2
Gesetz,359
oder,880
aufzulösen,2
wahrlich,34
Bis,9
zergehe,1
zergehen,7
Buchstabe,2
noch,1224
Tüttel,2
geschehe,23
Wer,547
kleinsten,1
Geboten,43
auflöst,1
lehrt,22
Kleinste,5
groß,190
habt,397
Alten,29
tötet,19
Gerichts,11
schuldig,46
seinem,1164
zürnet,2
Racha,1
Rats,13
Narr,40
höllischen,2
Feuers,14
deine,1222
Gabe,71
Altar,289
opferst,5
wirst,374
eingedenk,2
etwas,189
wider,837
gehe,217
zuvor,166
versöhne,10
deinem,647
alsdann,35
komm,52
opfere,18
Sei,55
willfährig,2
Widersacher,47
bald,73
dieweil,74
dermaleinst,6
überantworte,4
Richter,86
Diener,103
Kerker,9
dannen,48
herauskommen,6
letzten,47
Heller,3
bezahlest,2
ehebrechen,10
ansieht,6
ihrer,585
begehren,13
Ehe,34
gebrochen,16
Herzen,362
Ärgert,5
rechtes,11
Auge,75
reiß,4
wirf's,4
besser,113
eins,57
deiner,531
verderbe,19
Leib,123
Hölle,63
rechte,64
haue,9
ab,203
wirf,12
Weibe,159
scheidet,13
Scheidebrief,7
Ehebruch,10
bricht,34
Abgeschiedene,2
freit,11
weiter,97
keinen,159
falschen,22
Eid,46
halten,267
überhaupt,2
schwören,27
weder,162
Stuhl,167
Füße,166
Schemel,10
großen,238
Auch,151
Haupt,264
vermagst,3
einziges,5
Haar,37
schwarz,10
weiß,211
Eure,22
Rede,162
Ja,129
ja,200
nein,5
Was,473
darüber,103
Übel,61
Zahn,11
widerstreben,3
jemand,288
Streich,1
gibt,127
rechten,93
Backen,12
biete,7
andern,592
dar,25
Rock,41
Mantel,23
nötigt,1
Meile,1
Gib,49
bittet,32
wende,16
abborgen,1
Nächsten,111
lieben,80
Feind,68
hassen,52
Liebet,4
Feinde,209
segnet,21
fluchen,17
für,819
beleidigen,3
eures,86
läßt,146
Sonne,173
aufgehen,21
Bösen,43
Guten,35
regnen,31
Gerechte,51
Ungerechte,5
liebet,16
Lohn,62
Tun,60
Zöllner,19
Brüdern,176
freundlich,51
Sonderliches,1
vollkommen,33
gleichwie,126
Habt,35
acht,56
Almosen,15
gebet,16
anders,44
eurem,129
Wenn,565
gibst,24
posaunen,4
Heuchler,26
Gassen,60
gepriesen,12
Wahrlich,73
Sie,642
linke,10
wissen,169
Verborgene,9
sieht,107
dir's,75
vergelten,35
öffentlich,15
betest,4
gerne,44
stehen,209
beten,41
Ecken,29
Kämmerlein,1
schließ,2
Tür,195
bete,15
Verborgenen,12
betet,38
plappern,1
Heiden,482
erhört,29
Worte,299
gleichstellen,1
Euer,14
bedürfet,5
Unser,20
Dein,86
Name,111
geheiligt,72
Wille,15
Erden,308
täglich,84
gib,43
heute,199
vergib,10
unsere,68
Schuld,48
wir,1556
unseren,11
Schuldigern,1
vergeben,69
führe,42
Versuchung,10
erlöse,12
Kraft,159
Ewigkeit,87
Amen,54
Fehler,7
vergebet,7
himmlischer,5
fastet,5
sauer,11
verstellen,5
Angesicht,274
scheinen,12
Fasten,26
fastest,1
salbe,7
wasche,11
scheinest,1
Motten,7
Rost,8
fressen,80
Diebe,10
nachgraben,2
stehlen,14
Sammelt,10
Schatz,43
Herz,480
Leibes,51
einfältig,5
ganzer,28
licht,17
Schalk,4
finster,31
dann,123
Niemand,33
Herren,62
entweder,6
anhangen,13
verachten,23
könnt,30
Mammon,4
Sorget,3
essen,371
trinken,153
anziehen,24
Ist,154
mehr,666
Kleidung,5
Vögel,71
säen,19
ernten,19
Scheunen,4
nährt,4
doch,684
Länge,36
Elle,26
zusetzen,3
möge,50
ob,212
darum,526
sorget,7
warum,80
Schaut,2
Lilien,6
Felde,176
wachsen,46
arbeiten,33
spinnen,2
aller,286
bekleidet,17
derselben,103
So,1013
Gras,55
kleidet,7
morgen,66
Ofen,32
Kleingläubigen,4
sorgen,7
kleiden,9
solchem,29
allem,328
trachten,13
