594,1031,6.6094
984,2004,6.6463
1347,3005,6.856
1685,4000,6.9484
1994,5029,6.9985
2283,6003,7.0311
2496,7007,7.0657
2746,8001,7.1235
3004,9003,7.1528
3198,10001,7.1754
3392,11032,7.2093
3606,12020,7.2551
3815,13028,7.2752
4037,14002,7.2958
4281,15005,7.327
4523,16000,7.3566
4759,17001,7.3856
4973,18006,7.411
5189,19007,7.4396
5404,20017,7.4689
5595,21017,7.481
5784,22004,7.4945
5976,23009,7.5104
6123,24027,7.526
6294,25025,7.5404
6439,26001,7.5481
6609,27016,7.5521
6798,28031,7.5653
6972,29000,7.5786
7123,30005,7.5923
7288,31004,7.6136
7470,32009,7.617
7672,33025,7.6251
7836,34000,7.6343
7968,35021,7.6468
8086,36016,7.6541
8226,37037,7.6593
8357,38028,7.6666
8507,39008,7.6731
8681,40017,7.6843
8793,41032,7.6898
8936,42012,7.6958
9087,43003,7.713
9234,44026,7.717
9343,45004,7.7169
9501,46000,7.7318
9660,47005,7.7386
9812,48000,7.7487
9924,49012,7.7521
10096,50019,7.7502
10254,51004,7.7586
10403,52022,7.7656
10539,53028,7.7672
10722,54003,7.7796
10856,55037,7.7842
10983,56036,7.7924
11123,57010,7.8091
11253,58001,7.8169
11409,59023,7.8253
11548,60026,7.8382
11705,61032,7.8477
11824,62018,7.8561
11981,63033,7.858
12094,64009,7.8657
12239,65003,7.8747
12369,66003,7.8819
12513,67005,7.8848
12638,68020,7.8898
12749,69003,7.894
12899,70016,7.8994
13003,71000,7.8999
13131,72005,7.9055
13241,73004,7.9067
13383,74010,7.9096
13521,75030,7.9087
13644,76017,7.9108
13760,77031,7.9152
13893,78013,7.9192
14014,79014,7.9272
14164,80000,7.9315
14298,81010,7.9396
14429,82008,7.9367
14553,83002,7.9443
14677,84008,7.9469
14790,85024,7.9483
14924,86018,7.9566
15023,87015,7.9575
15148,88022,7.9639
15262,89013,7.9677
15397,90032,7.9696
15530,91031,7.975
15643,92023,7.9786
15796,93023,7.987
15894,94017,7.99
16006,95000,7.9938
16124,96017,7.9947
16243,97015,7.9976
16347,98016,7.9977
16466,99003,8.001
16567,100027,8.0037
16665,101004,8.0062
16796,102001,8.0059
16906,103012,8.0111
17008,104003,8.0124
17125,105009,8.0174
17248,106012,8.0241
17381,107005,8.0267
17468,108006,8.0309
17570,109003,8.0327
17685,110031,8.0357
17810,111014,8.0398
17908,112013,8.0423
17993,113000,8.0442
18068,114022,8.0453
18154,115014,8.049
18272,116002,8.0581
18378,117022,8.0621
18475,118033,8.0654
18591,119019,8.0715
18700,120012,8.0771
18815,121008,8.0822
18900,122005,8.0812
18993,123013,8.0843
19077,124018,8.087
19154,125000,8.0868
19245,126005,8.088
19340,127004,8.0878
19429,128005,8.0921
19523,129002,8.0939
19628,130002,8.0961
19718,131004,8.0986
19808,132014,8.102
19929,133015,8.1045
20048,134016,8.1093
20122,135005,8.1134
20209,136003,8.1176
